attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,train_w_frnk,attr_in_01,gpu,seed,write_csv,ATTR_IN_01,ADVERSARIAL,TRAIN_W_FRNK
16,512,1536,60,0.0001,1e-05,1e-05,1e-05,10,7,0.003,1e-05,500,3,True,False,False,0,42,True,False,True,False


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5336590800471733,"[0.4807811740202207, 0.5112327111802256, 0.5308813693221077, 0.5131593950023517, 0.5336590800471733, 0.507314912616825, 0.5091797110483706]",0.5123154790338964,0.3866713352042949
5,0.5767039345681622,"[0.5254398051016909, 0.5498087626407269, 0.5767039345681622, 0.5596612151319046, 0.5608201057375218, 0.5414537546796773, 0.5606685070679122]",0.5535080121325137,0.38605267266032656
8,0.5925060297127936,"[0.5925060297127936, 0.5848962382823825, 0.5697531830720883, 0.5875882745777121, 0.5833407105197822, 0.5746183983576708, 0.5913958167634259]",0.583442664469408,0.37634201042739146
11,0.6227307950369527,"[0.614556434376246, 0.6212560950947591, 0.6057261990574652, 0.6227307950369527, 0.6160226274259828, 0.6141786076012735, 0.6131456722793308]",0.6153737758388587,0.35162583081100846
14,0.637063971636582,"[0.6132668950325895, 0.60768482901294, 0.6254492005887942, 0.6274176372205453, 0.6319551127126137, 0.6370614158300328, 0.637063971636582]",0.6256998660048712,0.3448191413876737
17,0.6415732874563249,"[0.6206493506154651, 0.6381102522901445, 0.6388338818479419, 0.6409608553497816, 0.6412378780555292, 0.6399904612913317, 0.6415732874563249]",0.6373365667009313,0.3596650439511171
20,0.6751800602588782,"[0.6378763888954645, 0.6626902177306133, 0.6661916777147993, 0.6751800602588782, 0.6660061495223717, 0.6613068019869806, 0.6481630040505283]",0.6596306143085194,0.34770382640992265
23,0.6950771594990366,"[0.655653196628308, 0.6522950624564091, 0.6627397046881617, 0.6610397525195809, 0.6950771594990366, 0.6771168911341824, 0.6568351919511735]",0.6658224226966931,0.34816788742045174
26,0.6734462198849676,"[0.6425499013004613, 0.6636385157992307, 0.646419314727386, 0.6734462198849676, 0.6578169692737607, 0.6695668686207217, 0.6501384672024734]",0.6576537509727146,0.3560289068174462
29,0.659997082305701,"[0.6474289211670531, 0.6448104744023446, 0.6368099140969254, 0.6418106433077572, 0.645948658365375, 0.659997082305701, 0.6499096322575153]",0.6466736179860959,0.3685877156886546
32,0.6532185012771642,"[0.6406764902050301, 0.6356210367287445, 0.6532185012771642, 0.6507325472816448, 0.630656232277678, 0.6389860247972365, 0.6325739256258078]",0.6403521083133293,0.3761935099432784
35,0.6514006378582263,"[0.6237198233577719, 0.6514006378582263, 0.6480164367335173, 0.6334765463673967, 0.6355089169151744, 0.6431793379622298, 0.6317247269234165]",0.6381466323025332,0.36255579491249074
38,0.6552245154229014,"[0.5987684225816989, 0.6450782849185338, 0.6552245154229014, 0.6351125779211934, 0.6307538471635141, 0.6279804772974822, 0.6338184340947037]",0.6323909370571468,0.38348562225522725
41,0.6545371790264811,"[0.6193172649509024, 0.6510220486300884, 0.6536915414063024, 0.6245583532887685, 0.6464411979199255, 0.6545371790264811, 0.6270880191703562]",0.639522229198975,0.3680766265116628
44,0.6517482165421452,"[0.6180355200938484, 0.6401102552985393, 0.6445998465178226, 0.6517482165421452, 0.6406147355455415, 0.6191547045235521, 0.6281990511840891]",0.6346374756722197,0.3836571825291531
47,0.6449858810306234,"[0.576941487506462, 0.6318205129552111, 0.6354204858834105, 0.6366820348194555, 0.6300422148893032, 0.640210450157432, 0.6449858810306234]",0.6280147238916997,0.3835149652252539
50,0.6490326607214408,"[0.6082348798628139, 0.6167290107441906, 0.6464979906246109, 0.6490326607214408, 0.6377380952085198, 0.6301187371389609, 0.618003258515317]",0.6294792332594076,0.37337289057503525
53,0.6556212744693903,"[0.6426983525419351, 0.6473624613074648, 0.6556212744693903, 0.6424365397404073, 0.6319138723409164, 0.6504764272697441, 0.6455591643429669]",0.6451525845732606,0.3715284664542251
56,0.6469177577367977,"[0.6126267751699949, 0.644682591980865, 0.643383132109986, 0.6469177577367977, 0.6466910872119758, 0.6296863235092711, 0.6325339215748558]",0.636645941327678,0.3702601440198131
59,0.6490778467290699,"[0.6154750520924559, 0.6366594439722283, 0.6400994763332528, 0.6490778467290699, 0.6383123905041218, 0.6217642740804366, 0.6334456199999982]",0.6335477291016519,0.37842224238885475
